Children's Hospital,Payer,Discharges,Days,Year,Color
ARNOLD PALMER MEDICAL CENTER,Medicaid Managed Care,8477,44864,2017,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicaid Managed Care,8922,44623,2018,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicaid Managed Care,8535,44428,2019,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicaid Managed Care,8695,43484,2016,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicaid Managed Care,7645,37448,2020,"rgba(79, 98, 40, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicaid Managed Care,5642,36247,2017,"rgba(147, 205, 221, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicaid Managed Care,5365,34336,2018,"rgba(147, 205, 221, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicaid Managed Care,4975,34326,2019,"rgba(55, 96, 146, 1.0)"
ST JOSEPHS HOSPITAL,Medicaid Managed Care,8443,34185,2017,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL,Medicaid Managed Care,8406,34043,2018,"rgba(85, 142, 213, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Commercial Health Insurance,9260,33562,2017,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Commercial Health Insurance,9013,33277,2016,"rgba(79, 98, 40, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Commercial Health Insurance,8881,33195,2020,"rgba(79, 98, 40, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicaid Managed Care,4839,33105,2019,"rgba(147, 205, 221, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Commercial Health Insurance,8843,33063,2018,"rgba(79, 98, 40, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicaid Managed Care,5680,32870,2016,"rgba(147, 205, 221, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicaid Managed Care,4846,32241,2016,"rgba(74, 69, 42, 1.0)"
